timestamp,ax,ay,az
131432,-6.8043,7.2664,7.3789
131460,-9.6199,5.9233,10.6374
131488,-9.5289,5.2074,11.4898
131516,-4.4748,6.0813,6.11
131544,-2.7078,9.3901,-3.2681
131572,7.1036,13.362,-15.4618
131600,17.6501,18.3085,-24.8494
131628,17.7746,19.8527,-27.6818
131657,8.734,16.0747,-23.5446
131685,3.5961,10.6087,-15.6796
131713,-2.1356,4.2282,-8.9759
131741,-8.3462,-1.2522,-0.3448
131769,-18.6245,-0.0048,-5.0925
131797,-24.2317,-1.7095,-0.0718
131825,-22.1248,-1.2139,2.3655
131853,-26.9946,4.2808,-0.8212
131881,-22.9341,2.2386,5.0733
131910,-17.3268,0.9673,6.924
131938,-15.536,2.7821,5.2912
131966,-15.761,3.565,5.1236
131994,-14.5759,2.9999,4.2401
132022,-12.0476,2.9329,5.1427
132050,-8.4324,2.1835,2.4253
132078,-7.8051,3.7517,-1.7406
132106,-8.2791,5.3343,-6.8378
132134,-3.9935,8.3653,-12.8808
132162,-2.7605,8.1139,-13.8672
132191,-4.2377,6.0142,-13.3716
132219,-0.8715,7.9224,-14.4873
132247,3.0574,8.4851,-14.801
132275,-0.4429,10.5872,-13.2375
132303,-2.5738,10.7787,-11.0133
132331,-0.8882,8.1235,-7.8769
132359,0.1508,9.2584,-7.932
132387,-0.6943,9.7133,-10.5345
132415,-3.7373,9.1506,-9.9982
132444,-0.4118,11.1378,-13.2926
132472,1.0965,9.6319,-15.0452
132500,0.146,8.9495,-14.1689
132528,1.8268,8.0493,-14.8776
132556,-2.2865,6.6104,-12.6079
132584,-4.458,6.4763,-10.5249
132612,-3.9337,3.972,-6.5074
132640,-6.3087,1.1133,-6.1339
132668,-12.9957,0.3304,-7.8386
132696,-17.3939,-1.8052,-4.6352
132725,-24.5214,1.1756,-9.414
132753,-26.5325,3.8882,-11.9016
132781,-26.693,3.6631,-8.7532
132809,-21.9165,2.2242,-3.2992
132837,-16.4027,1.3024,-2.7797
132865,-13.1657,1.2186,-4.8076
132893,-12.0021,1.9896,-4.7142
132921,-11.0995,2.2122,-3.0694
132949,-9.7731,1.3048,-5.6886
132978,-9.0884,2.624,-13.5129
133006,-6.5673,1.3384,-16.5535
133034,-2.897,0.565,-17.7315
133062,2.7007,6.9983,-22.9508
133090,0.9002,4.2689,-21.8878
133118,-0.6129,6.608,-19.7593
133146,0.4166,5.9951,-16.6277
133174,0.747,5.9592,-15.2199
133202,-2.4181,7.1251,-14.8728
133231,-1.6352,6.9647,-14.1545
133259,1.4222,7.695,-14.9997
133287,2.873,6.9456,-16.3476
133315,4.5083,5.873,-18.0331
133343,3.802,4.7166,-19.1943
133371,-1.7334,3.9504,-18.0331
133399,-8.3031,1.8268,-14.4921
133427,-8.7819,-0.5028,-7.8434
